,fh,e.sa,e.n,e.d,e.a,e.su,e.f,e.h,gen,age.1,hp.y,hp.p,ho.r,s.value,le.ngeo,le.nogec,le.occlusion,le.nogeo,le.ngec,le.dg,re.ngeo,re.nogec,re.occlusion,re.nogeo,re.ngec,re.dg,et,y
0,0.27274,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,0,58,-3.70000,16.10000,6.90000,100.00000,1.00000,1.40000,0.10000,97.50000,0.00000,0.00000,0.10000,0.20000,0.00000,99.70000,0.00000,0.00000,B,C
1,0.01624,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,52,-13.40000,8.70000,13.20000,100.00000,0.00000,0.00000,1.90000,83.10000,0.00000,15.00000,16.70000,0.00000,0.00000,83.30000,0.00000,0.00000,W,C
2,0.00009,63.00000,0.20000,0.50000,0.10000,0.10000,0.10000,36.00000,1,39,7.80000,-7.40000,2.00000,99.90000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.30000,0.10000,0.00000,99.40000,0.00000,0.20000,W,C
3,0.01387,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,39,13.50000,11.00000,2.40000,100.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
4,0.00327,0.10000,87.60000,0.10000,0.10000,4.50000,0.10000,7.50000,1,26,-9.00000,10.70000,-4.60000,63.20000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.10000,99.90000,0.00000,0.00000,W,C
5,0.00067,0.00000,0.00000,0.00000,0.00000,0.00000,1.30000,98.70000,1,40,-0.20000,9.20000,1.20000,100.00000,0.70000,0.00000,0.00000,99.30000,0.00000,0.00000,0.20000,0.00000,0.00000,99.80000,0.00000,0.00000,B,L
6,0.00820,0.60000,0.00000,0.00000,0.00000,0.00000,0.00000,99.40000,1,65,2.70000,8.90000,2.10000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
7,0.00367,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,44,5.30000,-8.70000,1.00000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
8,0.02184,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,25,0.80000,11.30000,3.10000,100.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,3.00000,0.00000,0.10000,96.90000,0.00000,0.00000,W,L
9,0.14460,0.00000,0.10000,2.80000,0.00000,0.00000,0.60000,96.60000,0,53,-4.70000,-4.60000,34.90000,17.70000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
10,0.00132,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,45,25.20000,3.70000,6.20000,99.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.20000,1.80000,0.10000,97.90000,0.00000,0.00000,W,L
11,0.01559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,21,-57.10000,13.90000,13.20000,99.80000,3.30000,0.00000,0.00000,96.70000,0.00000,0.00000,0.10000,0.00000,0.00000,99.70000,0.00000,0.20000,W,C
12,0.00161,0.00000,87.50000,5.80000,0.00000,0.70000,0.00000,5.90000,0,28,-10.10000,-0.70000,5.80000,5.30000,0.40000,0.40000,0.30000,98.80000,0.10000,0.00000,0.60000,0.00000,0.10000,99.30000,0.00000,0.00000,W,C
13,0.04959,0.10000,99.80000,0.00000,0.10000,0.00000,0.00000,0.00000,0,37,28.20000,-0.60000,-22.60000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
14,0.15315,0.10000,97.90000,1.00000,0.10000,0.00000,0.00000,0.90000,0,30,24.80000,0.30000,-7.90000,76.20000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.20000,0.00000,89.10000,0.00000,10.70000,W,C
15,0.00223,0.00000,0.00000,0.00000,0.00000,0.10000,0.10000,99.80000,1,33,13.70000,-4.40000,4.50000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,L
16,0.00182,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,46,-13.80000,6.00000,-9.20000,100.00000,0.80000,0.00000,0.00000,99.20000,0.00000,0.00000,0.40000,0.00000,0.00000,99.60000,0.00000,0.00000,B,L
17,0.01011,0.00000,3.40000,0.00000,0.00000,0.10000,0.00000,96.50000,0,45,-40.10000,-8.10000,12.30000,68.60000,1.40000,0.10000,0.00000,98.10000,0.00000,0.40000,0.10000,0.00000,0.00000,99.80000,0.00000,0.00000,W,C
18,0.00016,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,67,0.90000,8.00000,3.90000,100.00000,0.20000,0.00000,0.00000,99.70000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
19,0.00914,0.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0,39,-6.80000,11.30000,-7.30000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,1.30000,98.60000,0.00000,0.00000,B,C
20,0.02814,0.00000,0.50000,74.40000,0.10000,0.00000,1.10000,23.80000,0,75,-8.90000,2.00000,22.40000,84.10000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,W,C
21,0.01207,30.90000,0.10000,1.40000,0.20000,0.10000,0.10000,67.40000,0,58,-16.00000,-4.10000,-0.10000,68.20000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,I,C
22,0.95045,0.20000,12.10000,27.20000,10.20000,0.20000,23.50000,26.70000,0,36,7.80000,-9.70000,-1.80000,99.70000,0.00000,26.30000,73.20000,0.00000,0.40000,0.00000,0.10000,3.20000,3.10000,0.00000,93.50000,0.10000,B,L
23,0.01328,0.00000,3.00000,1.40000,0.00000,95.50000,0.00000,0.00000,1,32,13.70000,4.80000,-26.60000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,W,L
24,0.10685,0.00000,47.20000,0.00000,0.00000,0.00000,0.00000,52.80000,0,30,-0.40000,5.30000,5.40000,99.90000,13.30000,0.20000,0.20000,86.00000,0.10000,0.30000,0.70000,3.40000,0.00000,95.90000,0.00000,0.00000,I,L
25,0.01485,0.10000,0.00000,0.00000,0.00000,0.00000,4.30000,95.60000,1,67,14.80000,-6.00000,0.20000,98.60000,91.40000,0.00000,3.10000,4.40000,0.30000,0.80000,99.70000,0.00000,0.00000,0.20000,0.00000,0.10000,W,C
26,0.02447,0.00000,0.20000,14.60000,56.30000,0.00000,0.50000,28.30000,0,68,8.80000,1.80000,-17.90000,99.90000,0.30000,3.40000,0.10000,95.50000,0.00000,0.80000,1.00000,1.50000,0.00000,97.40000,0.00000,0.00000,W,L
27,0.00909,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,48,-13.40000,16.10000,16.60000,100.00000,0.00000,2.90000,0.00000,97.10000,0.00000,0.00000,0.00000,0.20000,0.00000,99.80000,0.00000,0.00000,W,C
28,0.00441,0.00000,0.00000,0.00000,0.00000,0.20000,0.00000,99.80000,1,43,1.80000,11.60000,-5.60000,100.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,C
29,0.01734,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,99.80000,1,33,7.90000,5.90000,-28.60000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
30,0.00797,22.80000,34.30000,0.20000,0.20000,19.00000,1.20000,22.40000,0,47,1.70000,-2.80000,0.20000,32.40000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.20000,0.00000,99.80000,0.00000,0.00000,W,C
31,0.07989,0.00000,99.50000,0.00000,0.00000,0.00000,0.00000,0.50000,1,71,-7.00000,4.50000,-3.20000,46.80000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,4.40000,0.00000,0.00000,95.60000,0.00000,0.00000,W,C
32,0.03927,0.00000,0.00000,0.00000,0.00000,0.00000,3.20000,96.70000,1,43,16.60000,3.00000,-13.80000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
33,0.13794,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,32,-7.50000,7.40000,9.40000,100.00000,3.80000,0.00000,0.00000,96.20000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
34,0.00737,0.00000,0.00000,0.00000,0.30000,5.90000,93.80000,0.00000,1,36,44.30000,8.50000,-17.70000,89.90000,1.40000,0.00000,34.70000,53.40000,0.00000,10.50000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,B,L
35,0.06770,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,33,-4.70000,10.50000,4.70000,100.00000,0.00000,54.20000,0.00000,45.80000,0.00000,0.00000,0.00000,0.20000,0.20000,99.60000,0.00000,0.00000,B,C
36,0.79826,0.00000,60.20000,0.00000,0.00000,0.00000,0.00000,39.80000,0,54,3.40000,2.80000,-2.20000,80.60000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
37,0.00102,0.00000,0.00000,0.10000,0.00000,7.10000,4.50000,88.20000,1,20,7.10000,3.40000,-1.50000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
38,0.00341,0.20000,0.60000,0.10000,0.20000,0.10000,12.90000,86.00000,1,43,-4.80000,15.90000,-23.90000,97.20000,0.00000,0.00000,0.00000,99.90000,0.00000,0.10000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
39,0.01344,2.60000,0.00000,0.30000,0.00000,0.00000,0.10000,96.90000,1,50,-1.00000,17.40000,2.30000,100.00000,0.20000,0.00000,0.10000,99.60000,0.00000,0.20000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
40,0.03029,23.10000,0.40000,0.00000,0.00000,0.00000,0.00000,76.40000,1,27,45.40000,-8.20000,-37.30000,99.30000,1.30000,1.10000,0.10000,85.10000,0.00000,12.40000,0.00000,1.40000,0.30000,98.30000,0.00000,0.00000,I,L
41,0.00438,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,49,2.00000,10.70000,2.10000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
42,0.97994,0.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.80000,0,42,9.50000,2.00000,-16.50000,99.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
43,0.94670,86.60000,4.30000,1.30000,6.50000,0.00000,0.00000,1.40000,0,66,1.60000,-8.20000,14.10000,53.80000,0.00000,97.20000,0.00000,2.80000,0.00000,0.00000,0.10000,84.50000,10.00000,3.10000,0.50000,1.80000,W,C
44,0.78386,6.00000,41.40000,13.80000,12.30000,19.80000,5.40000,1.30000,0,34,0.40000,6.70000,1.90000,9.00000,0.20000,0.60000,0.20000,75.60000,0.00000,23.30000,0.10000,0.20000,0.10000,12.70000,0.00000,87.00000,W,L
45,0.02033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,46,23.70000,-2.50000,-8.20000,100.00000,0.00000,0.00000,1.70000,96.10000,0.00000,2.20000,0.10000,0.00000,1.90000,97.70000,0.00000,0.30000,B,L
46,0.00855,4.60000,43.90000,0.60000,50.40000,0.10000,0.10000,0.40000,0,37,13.60000,-1.10000,-7.00000,11.20000,2.40000,1.00000,0.60000,93.40000,0.00000,2.50000,0.00000,0.00000,0.00000,99.80000,0.00000,0.20000,B,C
47,0.10172,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,61,-8.70000,5.00000,11.60000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
48,0.06261,0.00000,98.00000,0.60000,0.00000,0.10000,0.00000,1.20000,0,45,15.50000,-7.50000,-8.90000,81.00000,61.20000,0.30000,1.00000,6.00000,28.10000,3.50000,2.60000,0.60000,0.60000,92.60000,0.00000,3.50000,B,L
49,0.00206,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,34,21.20000,3.40000,-2.10000,100.00000,0.20000,0.00000,0.40000,99.40000,0.00000,0.00000,0.20000,1.00000,12.00000,86.70000,0.00000,0.10000,W,C
50,0.01686,99.30000,0.10000,0.00000,0.50000,0.10000,0.00000,0.10000,1,71,-6.30000,-2.90000,-1.00000,14.70000,0.00000,95.80000,0.00000,3.20000,0.00000,1.10000,0.00000,18.40000,0.00000,72.50000,0.00000,9.00000,W,C
51,0.04559,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,42,-7.30000,0.50000,8.40000,100.00000,0.30000,0.00000,0.00000,99.70000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
52,0.02707,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,97.90000,1,28,-8.10000,5.80000,0.90000,100.00000,0.50000,0.00000,0.10000,99.40000,0.00000,0.10000,0.00000,0.00000,0.10000,99.90000,0.00000,0.00000,W,L
53,0.85617,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,99.90000,0,48,30.70000,-9.90000,7.20000,100.00000,2.00000,3.30000,0.30000,93.70000,0.70000,0.00000,0.30000,0.50000,0.60000,98.60000,0.00000,0.00000,I,C
54,0.00923,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,61,-42.40000,15.70000,6.30000,97.10000,1.20000,0.00000,0.10000,98.60000,0.00000,0.00000,0.10000,0.00000,0.40000,99.40000,0.00000,0.10000,W,L
55,0.00085,0.00000,0.00000,0.10000,0.00000,0.00000,0.00000,99.90000,1,65,25.70000,-4.40000,-14.50000,100.00000,22.80000,0.00000,0.00000,77.20000,0.00000,0.00000,42.50000,1.60000,0.50000,55.40000,0.00000,0.00000,A,C
56,0.00912,0.10000,0.00000,0.00000,0.10000,0.00000,0.10000,99.70000,0,34,1.30000,12.80000,-6.60000,100.00000,52.00000,0.00000,0.00000,0.00000,0.00000,47.90000,78.90000,0.00000,0.00000,0.50000,0.00000,20.60000,W,C
57,0.91595,0.00000,1.50000,94.80000,0.50000,0.10000,0.00000,3.10000,0,66,4.70000,-13.20000,10.50000,99.50000,69.10000,0.00000,0.10000,1.30000,1.20000,28.30000,8.20000,0.00000,14.80000,0.30000,1.60000,75.10000,W,C
58,0.00712,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,24,8.70000,5.10000,-6.20000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,4.10000,0.00000,0.20000,1.40000,0.00000,94.30000,W,L
59,0.03948,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,44,-1.80000,9.10000,14.80000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
60,0.20515,0.00000,0.10000,0.10000,0.00000,0.00000,0.00000,99.80000,0,64,-7.50000,16.70000,5.60000,11.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,W,L
61,0.40166,0.00000,46.90000,50.60000,1.10000,0.00000,1.30000,0.00000,0,34,-30.30000,-9.80000,23.60000,6.10000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.40000,0.00000,0.20000,0.40000,0.00000,98.90000,I,L
62,0.01388,0.00000,0.00000,0.00000,1.00000,0.20000,0.00000,98.80000,1,42,22.50000,12.30000,122.30000,99.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,L
63,0.97252,1.20000,0.00000,2.70000,0.40000,0.00000,26.70000,69.00000,0,26,-9.70000,-2.80000,-7.00000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
64,0.14282,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,51,19.10000,14.70000,24.00000,100.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
65,0.00075,0.00000,0.60000,0.00000,0.00000,0.00000,5.90000,93.50000,1,48,14.00000,2.60000,-16.70000,55.30000,0.20000,0.00000,0.00000,99.80000,0.00000,0.00000,1.80000,0.00000,0.00000,98.20000,0.00000,0.00000,A,C
66,0.17186,7.60000,18.60000,7.00000,0.00000,0.00000,0.00000,66.70000,0,43,16.30000,9.30000,6.80000,37.40000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.80000,0.00000,0.00000,99.10000,0.00000,0.00000,W,L
67,0.05828,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,31,5.80000,-5.80000,-12.70000,0.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
68,0.00019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,58,22.40000,4.20000,-1.10000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.70000,0.00000,99.00000,0.00000,0.20000,W,C
69,0.04413,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,99.90000,1,49,-6.50000,11.40000,31.50000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
70,0.00072,48.80000,19.50000,1.30000,0.10000,0.10000,0.10000,29.90000,1,29,-0.60000,1.50000,-5.60000,21.90000,0.00000,0.20000,0.00000,99.80000,0.00000,0.00000,0.00000,0.20000,0.00000,99.80000,0.00000,0.00000,W,L
71,0.86346,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,40,6.70000,-13.80000,3.50000,100.00000,0.00000,99.90000,0.00000,0.10000,0.00000,0.00000,0.00000,64.20000,0.30000,35.40000,0.00000,0.00000,W,C
72,0.01230,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,33,-11.50000,7.80000,16.30000,99.00000,5.00000,2.20000,2.10000,90.50000,0.10000,0.10000,9.60000,0.00000,0.00000,90.30000,0.10000,0.00000,W,L
73,0.00068,0.00000,0.70000,0.10000,0.00000,0.10000,0.00000,99.10000,1,42,-9.50000,19.40000,19.40000,98.10000,99.70000,0.00000,0.00000,0.20000,0.00000,0.10000,99.60000,0.00000,0.00000,0.40000,0.00000,0.00000,B,L
74,0.06750,0.00000,83.20000,12.60000,0.10000,3.70000,0.00000,0.30000,0,52,-6.40000,5.40000,-5.10000,0.40000,0.30000,0.80000,0.40000,98.50000,0.00000,0.00000,9.20000,53.90000,4.00000,26.50000,6.20000,0.30000,W,C
75,0.00090,0.00000,0.00000,1.50000,0.00000,0.00000,0.00000,98.50000,1,22,-4.70000,5.60000,-36.00000,100.00000,0.00000,97.10000,0.40000,2.50000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,L
76,0.18072,0.10000,1.30000,0.00000,0.00000,0.00000,0.10000,98.40000,1,28,-3.80000,12.00000,-12.00000,97.60000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,L
77,0.00078,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,49,-11.30000,9.80000,-8.30000,95.40000,98.90000,0.00000,0.00000,1.00000,0.00000,0.00000,99.80000,0.00000,0.00000,0.20000,0.10000,0.00000,W,C
78,0.02432,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,51,3.80000,5.90000,-7.30000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
79,0.03749,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,40,30.20000,8.20000,-10.30000,99.60000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.40000,0.00000,99.60000,0.00000,0.00000,I,C
80,0.00042,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0,38,4.70000,9.50000,-6.30000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,A,L
81,0.00680,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,38,-17.00000,1.50000,-2.90000,100.00000,1.40000,9.00000,1.50000,88.00000,0.10000,0.00000,1.80000,3.00000,2.20000,92.70000,0.20000,0.00000,W,L
82,0.00995,0.00000,1.50000,0.10000,7.30000,3.10000,0.00000,88.00000,1,28,-2.60000,-4.50000,1.10000,99.40000,4.60000,0.00000,19.30000,74.90000,0.00000,1.20000,2.30000,0.00000,4.10000,93.50000,0.00000,0.10000,B,C
83,0.00835,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,29,-10.90000,3.30000,2.90000,100.00000,0.00000,0.00000,0.00000,99.90000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,W,C
84,0.00311,0.00000,90.80000,0.00000,0.90000,0.00000,0.00000,8.20000,1,45,-14.50000,14.00000,10.60000,7.30000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,W,L
85,0.07775,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,58,1.80000,13.10000,15.20000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,W,C
86,0.07661,0.00000,0.00000,0.00000,0.00000,0.00000,0.10000,99.90000,1,44,-2.20000,11.90000,-1.50000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,5.10000,0.00000,0.00000,94.90000,0.00000,0.00000,W,L
87,0.00307,3.80000,3.70000,1.00000,0.10000,0.60000,0.10000,90.80000,1,46,-22.70000,-0.90000,-13.60000,79.00000,0.00000,0.00000,0.00000,1.10000,0.00000,98.90000,2.90000,0.00000,0.70000,89.00000,0.00000,7.40000,W,L
88,0.07109,0.00000,0.50000,0.00000,0.10000,0.00000,0.00000,99.30000,1,29,1.00000,26.50000,1.10000,68.30000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,L
89,0.03481,0.20000,0.10000,0.10000,5.40000,0.10000,0.10000,94.10000,1,53,-5.20000,7.70000,-8.70000,99.80000,1.00000,0.00000,0.00000,99.00000,0.00000,0.00000,4.20000,0.00000,0.10000,95.40000,0.20000,0.00000,W,C
90,0.02126,0.00000,99.90000,0.00000,0.00000,0.00000,0.00000,0.10000,0,51,-15.20000,-4.20000,-1.20000,80.50000,91.40000,0.00000,0.10000,2.00000,0.00000,6.50000,89.00000,0.00000,0.10000,9.80000,0.10000,0.90000,I,C
91,0.00151,0.20000,0.00000,0.10000,0.00000,0.60000,33.50000,65.60000,1,31,10.50000,3.70000,-0.40000,100.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,0.20000,0.00000,0.00000,99.80000,0.00000,0.00000,W,C
92,0.00979,4.30000,55.50000,15.20000,14.50000,0.80000,7.50000,2.30000,1,57,-0.70000,-6.90000,-24.40000,99.90000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,B,L
93,0.22651,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,55,-6.20000,8.70000,32.10000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.30000,0.00000,0.00000,99.70000,0.00000,0.00000,W,C
94,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,1,34,-7.60000,-7.00000,-0.40000,100.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.10000,0.00000,0.00000,99.90000,0.00000,0.00000,B,L
95,0.89148,28.70000,25.90000,0.10000,0.10000,0.40000,44.70000,0.20000,0,44,-3.00000,5.80000,8.80000,2.50000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.40000,0.00000,0.00000,99.60000,0.00000,0.00000,W,C
96,0.00001,0.30000,8.60000,14.90000,0.40000,60.90000,8.20000,6.70000,1,31,-83.60000,1.90000,0.90000,30.70000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,100.00000,I,L
97,0.00125,0.00000,0.00000,4.50000,0.70000,1.20000,0.00000,93.50000,1,37,10.70000,4.10000,-61.20000,100.00000,50.30000,2.50000,0.20000,36.40000,10.40000,0.10000,99.80000,0.00000,0.00000,0.20000,0.00000,0.00000,W,C
98,0.99985,1.00000,98.90000,0.00000,0.00000,0.00000,0.00000,0.20000,0,31,-0.50000,-7.10000,2.30000,21.30000,64.40000,1.70000,1.50000,8.90000,19.50000,4.10000,84.20000,0.00000,0.20000,12.80000,0.30000,2.40000,I,L
